timestamp,fen
1764407460,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR
1764407460,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR
1764407460,rnbqkbnr/p1pppppp/1p6/8/4P3/8/PPPP1PPP/RNBQKBNR
1764407460,rnbqkbnr/p1pppppp/1p6/8/3PP3/8/PPP2PPP/RNBQKBNR
1764407890,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR
1764407890,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR
1764407890,rnbqkbnr/pppp1ppp/8/4p3/3P4/8/PPP1PPPP/RNBQKBNR
1764407895,rnbqkbnr/pppp1ppp/8/4P3/8/8/PPP1PPPP/RNBQKBNR
1764407900,rnbqkbnr/ppp2ppp/3p4/4P3/8/8/PPP1PPPP/RNBQKBNR
1764407989,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR
1764408018,rnbqkbnr/pppppppp/8/8/5P2/8/PPPPP1PP/RNBQKBNR
1764408677,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR
1764408677,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR
1764408677,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR
1764408677,rnbqkbnr/pp1ppppp/8/2p5/4P3/2N5/PPPP1PPP/R1BQKBNR
1764408677,rnbqkbnr/pp2pppp/3p4/2p5/4P3/2N5/PPPP1PPP/R1BQKBNR
1764408677,rnbqkbnr/pp2pppp/3p4/2p5/3PP3/2N5/PPP2PPP/R1BQKBNR
1764408677,rnbqkbnr/pp2pppp/3p4/8/3pP3/2N5/PPP2PPP/R1BQKBNR
1764418199,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR
1764418199,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR
1764418199,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR
1764418199,rnbqkbnr/pp1ppppp/8/2p5/4P3/2N5/PPPP1PPP/R1BQKBNR
1764418199,rnbqkbnr/pp2pppp/3p4/2p5/4P3/2N5/PPPP1PPP/R1BQKBNR
1764418199,rnbqkbnr/pp2pppp/3p4/2p5/3PP3/2N5/PPP2PPP/R1BQKBNR
1764418199,rnbqkbnr/pp2pppp/3p4/8/3pP3/2N5/PPP2PPP/R1BQKBNR
1764418273,rnbqkbnr/pppppp1p/8/6p1/4P3/8/PPPP1PPP/RNBQKBNR
1764418277,rnbqkbnr/pppppp1p/8/6p1/4P3/P7/1PPP1PPP/RNBQKBNR
1764418277,rnbqkbnr/pp1ppp1p/8/2p3p1/4P3/P7/1PPP1PPP/RNBQKBNR
1764418293,rnbqkbnr/pp1ppp1p/8/2p3p1/4P3/P4N2/1PPP1PPP/RNBQKB1R
1764418296,rnbqkbnr/1p1ppp1p/p7/2p3p1/4P3/P4N2/1PPP1PPP/RNBQKB1R
1764418307,rnbqkbnr/1p1ppp1p/p7/2p3p1/4P3/P1N2N2/1PPP1PPP/R1BQKB1R
1764418307,r1bqkbnr/1p1ppp1p/p1n5/2p3p1/4P3/P1N2N2/1PPP1PPP/R1BQKB1R
1764418310,r1bqkbnr/1p1ppp1p/p1n5/2p3p1/4P3/PPN2N2/2PP1PPP/R1BQKB1R
1764418320,r1bqkbnr/3ppp1p/ppn5/2p3p1/4P3/PPN2N2/2PP1PPP/R1BQKB1R
1764418704,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR
1764418704,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR
1764418704,rnbqkbnr/pppppp1p/8/6p1/4P3/8/PPPP1PPP/RNBQKBNR
1764418704,rnbqkbnr/pppppp1p/8/6p1/4P3/P7/1PPP1PPP/RNBQKBNR
1764418704,rnbqkbnr/pp1ppp1p/8/2p3p1/4P3/P7/1PPP1PPP/RNBQKBNR
1764418704,rnbqkbnr/pp1ppp1p/8/2p3p1/4P3/P4N2/1PPP1PPP/RNBQKB1R
1764418704,rnbqkbnr/1p1ppp1p/p7/2p3p1/4P3/P4N2/1PPP1PPP/RNBQKB1R
1764418704,rnbqkbnr/1p1ppp1p/p7/2p3p1/4P3/P1N2N2/1PPP1PPP/R1BQKB1R
1764418704,r1bqkbnr/1p1ppp1p/p1n5/2p3p1/4P3/P1N2N2/1PPP1PPP/R1BQKB1R
1764418704,r1bqkbnr/1p1ppp1p/p1n5/2p3p1/4P3/PPN2N2/2PP1PPP/R1BQKB1R
1764418704,r1bqkbnr/3ppp1p/ppn5/2p3p1/4P3/PPN2N2/2PP1PPP/R1BQKB1R
1764418720,rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR
1764418722,rnbqkbnr/pppppp1p/6p1/8/6P1/8/PPPPPP1P/RNBQKBNR
1764418828,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR
1764418840,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR
1764419035,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR
1764419043,rnbqkbnr/pppppppp/8/8/7P/8/PPPPPPP1/RNBQKBNR
1764419048,rnbqkbnr/p1pppppp/1p6/8/7P/8/PPPPPPP1/RNBQKBNR
1764419054,rnbqkbnr/p1pppppp/1p6/8/4P2P/8/PPPP1PP1/RNBQKBNR
1764419059,rnbqkbnr/p2ppppp/1p6/2p5/4P2P/8/PPPP1PP1/RNBQKBNR
1764419100,rnbqkbnr/p2ppppp/1p6/2p5/4P2P/5N2/PPPP1PP1/RNBQKB1R
1764419100,r1bqkbnr/p2ppppp/1pn5/2p5/4P2P/5N2/PPPP1PP1/RNBQKB1R
1764419147,r1bqkbnr/p2ppppp/1pn5/2p4P/4P3/5N2/PPPP1PP1/RNBQKB1R
1764419152,r1bqkbnr/p2pp1pp/1pn2p2/2p4P/4P3/5N2/PPPP1PP1/RNBQKB1R
1764419181,r1bqkbnr/p2pp1pp/1pn2p2/2p4P/4P3/8/PPPP1PP1/RNBQKBNR
1764419181,rnbqkbnr/p2pp1pp/1p3p2/2p4P/4P3/8/PPPP1PP1/RNBQKBNR
1764419216,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR
1764419223,rnbqkbnr/pppppppp/8/8/5P2/8/PPPPP1PP/RNBQKBNR
1764419233,rnbqkbnr/pppp1ppp/8/4p3/5P2/8/PPPPP1PP/RNBQKBNR
1764419240,rnbqkbnr/pppp1ppp/8/4p3/5P2/5N2/PPPPP1PP/RNBQKB1R
1764419257,rnbqkbnr/pp1p1ppp/2p5/4p3/5P2/5N2/PPPPP1PP/RNBQKB1R
1764419263,rnbqkbnr/pp1p1ppp/2p5/4P3/8/5N2/PPPPP1PP/RNBQKB1R
1764419287,rnbqk1nr/pp1p1ppp/2p5/2b1P3/8/5N2/PPPPP1PP/RNBQKB1R
1764419290,rnbqk1nr/pp1p1ppp/2p5/2b1P3/8/P4N2/1PPPP1PP/RNBQKB1R
1764419294,rnbqk2r/pp1p1ppp/2p4n/2b1P3/8/P4N2/1PPPP1PP/RNBQKB1R
1764419404,rnbqk2r/pp1p1ppp/2p4n/2b1P3/8/P7/1PPPP1PP/RNBQKBNR
1764419404,rnbqk1nr/pp1p1ppp/2p5/2b1P3/8/P7/1PPPP1PP/RNBQKBNR
1764421044,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR
1764421058,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR
1764421058,rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR
1764421065,rnbqkbnr/ppp1pppp/3p4/8/4P3/5N2/PPPP1PPP/RNBQKB1R
1764421066,r1bqkbnr/ppp1pppp/2np4/8/4P3/5N2/PPPP1PPP/RNBQKB1R
1764421070,r1bqkbnr/ppp1pppp/2np4/8/3PP3/5N2/PPP2PPP/RNBQKB1R
1764421072,r1bqkbnr/1pp1pppp/p1np4/8/3PP3/5N2/PPP2PPP/RNBQKB1R
